Day or Night?_2013,State,Date_2013,Race_2013,Vehicle Type_2013,From Where_2013,To Where_2013,Trip distance_2013,Alcohol Today_2013,Age Range_2013,Zipcode_2013,Education Level_2013,Employed_2013,Blood Alcohol Content_2013
2,NM,2/14/2014 22:37,#NULL!,Car,,,,,,,,,#NULL!
2,NM,2/14/2014 22:58,1,SUV/ Crossover,Sport or rec facility/park,Sport or rec facility/park,0-5,Yes,30.0,79714.0,None - 8th grade,Employed Full-time,#NULL!
2,NM,2/14/2014 23:46,4,SUV/ Crossover,Work,Own home,20-Nov,,30.0,88340.0,High school graduate,Employed Full-time,0
3,NM,2/15/2014 1:19,#NULL!,Pickup,,,,,,,,,#NULL!
3,NM,2/15/2014 1:44,6,SUV/ Crossover,Someone else's home,Hotel/motel,More than 20,Yes,37.0,88001.0,Associate's degree,Employed Full-time,#NULL!
3,NM,2/15/2014 1:59,1,SUV/ Crossover,Own home,Hotel/motel,More than 20,No,31.0,79907.0,Some college - no degree,Employed Full-time,#NULL!
3,NM,2/15/2014 2:21,7,Car,Work,Own home,0-5,No,22.0,88346.0,9th - 11th grade,Employed Full-time,0
3,NM,2/15/2014 2:29,1,SUV/ Crossover,Sport or rec facility/park,Own home,More than 20,,56.0,88355.0,High school graduate,Employed Part-time,#NULL!
3,NM,2/15/2014 2:40,#NULL!,Car,,,,,,,,,#NULL!
3,NM,2/15/2014 3:01,1,SUV/ Crossover,Sport or rec facility/park,Own home,0-5,,50.0,13850.0,High school graduate,On Disability,#NULL!
4,NM,2/15/2014 22:23,1,Minivan,Own home,Hotel/motel,More than 20,No,30.0,79323.0,High school graduate,Employed Full-time,#NULL!
4,NM,2/15/2014 22:41,8,Car,Own home,Sport or rec facility/park,More than 20,No,23.0,88005.0,Bachelor's degree,Employed Full-time,#NULL!
4,NM,2/15/2014 22:52,1,Car,Own home,Restaurant/eating place,More than 20,Yes,28.0,79830.0,Bachelor's degree,Employed Full-time,#NULL!
4,NM,2/15/2014 23:11,1,Car,Sport or rec facility/park,Hotel/motel,10-Jun,No,62.0,88007.0,Some college - no degree,Retired,#NULL!
4,NM,2/15/2014 23:26,1,Minivan,Work,Restaurant/eating place,0-5,,42.0,88301.0,None - 8th grade,Employed Full-time,0
4,NM,2/15/2014 23:41,6,Pickup,Work,Own home,20-Nov,,29.0,83816.0,Bachelor's degree,Employed Full-time,0
4,NM,2/16/2014 0:00,1,SUV/ Crossover,Store or gas station,Own home,0-5,No,54.0,88345.0,Some college - no degree,Employed Full-time,0
4,NM,2/16/2014 0:11,1,Pickup,Someone else's home,Own home,More than 20,,18.0,88312.0,High school graduate,Employed Part-time,#NULL!
5,NM,2/16/2014 1:09,#NULL!,Car,,,,,,,,,#NULL!
5,NM,2/16/2014 1:11,#NULL!,Car,,,,,,,,,#NULL!
5,NM,2/16/2014 1:35,7,Pickup,Sport or rec facility/park,Own home,10-Jun,Yes,33.0,88346.0,High school graduate,Employed Full-time,0
5,NM,2/16/2014 1:53,1,SUV/ Crossover,Sport or rec facility/park,Store or gas station,10-Jun,Yes,42.0,88253.0,Associate's degree,Employed Full-time,#NULL!
5,NM,2/16/2014 2:10,1,SUV/ Crossover,Sport or rec facility/park,Hotel/motel,10-Jun,,49.0,79714.0,Some college - no degree,Employed Full-time,#NULL!
5,NM,2/16/2014 2:16,#NULL!,Pickup,,,,,,,,,#NULL!
5,NM,2/16/2014 2:41,1,SUV/ Crossover,Sport or rec facility/park,Own home,10-Jun,,41.0,88246.0,High school graduate,Employed Full-time,#NULL!
5,NM,2/16/2014 2:49,#NULL!,Car,,,,,,,,,#NULL!
1,OK,9/6/2013 11:31,#NULL!,Minivan,,,,,,,,,#NULL!
1,OK,9/6/2013 11:46,1,Minivan,Own home,Work,10-Jun,No,42.0,73008.0,Master's degree,Employed Full-time,#NULL!
1,OK,9/6/2013 11:54,1,Car,Someone else's home,Own home,20-Nov,,78.0,73008.0,High school graduate,Homemaker,0
1,OK,9/6/2013 12:40,1,Car,Work,Other,20-Nov,No,30.0,73008.0,High school graduate,Employed Part-time,#NULL!
1,OK,9/6/2013 13:00,1,Car,Other,Own home,0-5,,27.0,73127.0,High school graduate,Employed Part-time,0
1,OK,9/6/2013 13:08,#NULL!,Car,,,,,,,,,#NULL!
1,OK,9/6/2013 13:23,1,Car,Other,Other,10-Jun,,50.0,73008.0,High school graduate,Employed Full-time,0
1,OK,9/6/2013 13:37,1,SUV/ Crossover,School/church,Own home,10-Jun,No,26.0,73127.0,Some college - no degree,Homemaker,0
2,OK,9/6/2013 22:26,1,SUV/ Crossover,Someone else's home,Own home,20-Nov,No,35.0,73106.0,9th - 11th grade,Employed Full-time,0
2,OK,9/6/2013 22:54,1,SUV/ Crossover,Restaurant/eating place,Own home,10-Jun,,32.0,73108.0,None - 8th grade,Employed Full-time,#NULL!
2,OK,9/6/2013 23:18,8,Car,Store or gas station,Own home,20-Nov,,32.0,73108.0,None - 8th grade,Employed Full-time,0
2,OK,9/6/2013 23:55,8,Car,Restaurant/eating place,Own home,0-5,Yes,37.0,73109.0,None - 8th grade,Employed Full-time,0
3,OK,9/7/2013 1:21,8,SUV/ Crossover,Other,Restaurant/eating place,10-Jun,,20.0,73089.0,High school graduate,Employed Full-time,#NULL!
3,OK,9/7/2013 1:44,3,Car,Work,Own home,20-Nov,,26.0,73112.0,Master's degree,Employed Part-time,#NULL!
3,OK,9/7/2013 2:01,1,Car,Work,Own home,10-Jun,,43.0,73119.0,9th - 11th grade,Employed Full-time,0
3,OK,9/7/2013 2:11,1,Car,Work,Own home,20-Nov,,61.0,73159.0,Some college - no degree,Employed Full-time,#NULL!
3,OK,9/7/2013 2:41,1,Car,Work,Own home,20-Nov,Yes,43.0,73108.0,9th - 11th grade,Employed Full-time,0
3,OK,9/7/2013 2:50,1,Car,Work,Own home,20-Nov,,45.0,73084.0,Some college - no degree,Homemaker,#NULL!
3,OK,9/7/2013 3:16,1,SUV/ Crossover,Restaurant/eating place,Own home,0-5,No,31.0,73108.0,9th - 11th grade,Employed Full-time,0
4,OK,9/7/2013 22:24,1,Pickup,Own home,Other,More than 20,No,45.0,99999.0,9th - 11th grade,Employed Full-time,#NULL!
4,OK,9/7/2013 22:45,1,Minivan,Someone else's home,Own home,0-5,,52.0,73107.0,High school graduate,Employed Full-time,0
4,OK,9/7/2013 22:54,1,SUV/ Crossover,Own home,Work,10-Jun,No,45.0,73112.0,High school graduate,Employed Full-time,#NULL!
4,OK,9/7/2013 23:27,1,Minivan,Work,Own home,0-5,,55.0,73107.0,High school graduate,Employed Full-time,0
4,OK,9/7/2013 23:45,1,Car,Other,Own home,More than 20,Yes,27.0,73107.0,Master's degree,Employed Full-time,0
4,OK,9/8/2013 0:05,8,Pickup,Someone else's home,Someone else's home,0-5,No,19.0,73107.0,High school graduate,Employed Part-time,#NULL!
5,OK,9/8/2013 1:41,1,Car,"Bar, tavern, club",Own home,0-5,Yes,23.0,73105.0,Bachelor's degree,Employed Full-time,0.129
5,OK,9/8/2013 2:01,#NULL!,Car,,,,,,,,,#NULL!
5,OK,9/8/2013 2:21,#NULL!,Car,Someone else's home,Own home,10-Jun,,,,,,#NULL!
5,OK,9/8/2013 2:47,1,Minivan,Restaurant/eating place,Own home,0-5,No,34.0,65619.0,Some college - no degree,Employed Full-time,#NULL!
5,OK,9/8/2013 2:59,1,Car,Someone else's home,Restaurant/eating place,20-Nov,No,62.0,87521.0,High school graduate,Retired,#NULL!
5,OK,9/8/2013 3:09,2,SUV/ Crossover,Own home,Own home,0-5,No,36.0,73131.0,Some college - no degree,Employed Full-time,#NULL!
1,TX,11/8/2013 12:44,1,SUV/ Crossover,Own home,Other,10-Jun,,42.0,76476.0,Some college - no degree,Employed Full-time,#NULL!
1,TX,11/8/2013 12:52,#NULL!,Pickup,,,,,,,,,#NULL!
1,TX,11/8/2013 13:11,1,Minivan,Work,Own home,20-Nov,No,46.0,76048.0,High school graduate,Employed Full-time,0
1,TX,11/8/2013 13:36,1,Pickup,Other,Other,10-Jun,,75.0,76476.0,Some college - no degree,Retired,#NULL!
1,TX,11/8/2013 13:42,#NULL!,Car,,,,,,,,,#NULL!
1,TX,11/8/2013 13:57,1,Minivan,Work,Other,0-5,No,30.0,76048.0,Some college - no degree,Employed Full-time,0
1,TX,11/8/2013 14:01,#NULL!,Minivan,,,,,,,,,#NULL!
1,TX,11/8/2013 14:19,1,Car,Other,Other,10-Jun,No,60.0,76048.0,High school graduate,Retired,0
1,TX,11/8/2013 14:41,1,SUV/ Crossover,Other,Own home,More than 20,,62.0,76049.0,9th - 11th grade,On Disability,0
2,TX,11/8/2013 22:19,1,Pickup,Other,Own home,More than 20,,41.0,76049.0,9th - 11th grade,Employed Full-time,0
2,TX,11/8/2013 22:27,#NULL!,Pickup,,,,,,,,,#NULL!
2,TX,11/8/2013 22:48,1,Car,Work,Own home,More than 20,No,27.0,76048.0,Some college - no degree,Employed Full-time,#NULL!
2,TX,11/8/2013 23:02,1,Pickup,"Bar, tavern, club",Own home,10-Jun,Yes,53.0,76043.0,High school graduate,Employed Full-time,#NULL!
2,TX,11/8/2013 23:07,#NULL!,Pickup,,,,,,,,,#NULL!
2,TX,11/8/2013 23:30,1,Pickup,Sport or rec facility/park,Own home,More than 20,No,53.0,76131.0,High school graduate,Employed Full-time,#NULL!
2,TX,11/8/2013 23:57,1,Car,Own home,Store or gas station,10-Jun,Yes,38.0,76048.0,High school graduate,Employed Full-time,#NULL!
2,TX,11/8/2013 22:37,#NULL!,,,,,,,,,,#NULL!
3,TX,11/9/2013 1:11,1,Car,Own home,Store or gas station,More than 20,,39.0,76043.0,9th - 11th grade,On Disability,#NULL!
3,TX,11/9/2013 1:24,1,Pickup,Store or gas station,Own home,0-5,,22.0,76049.0,High school graduate,Employed Part-time,#NULL!
3,TX,11/9/2013 1:31,#NULL!,Pickup,,,,,,,,,#NULL!
3,TX,11/9/2013 1:45,#NULL!,Pickup,,,,,,,,,#NULL!
3,TX,11/9/2013 2:00,#NULL!,Car,,,,,,,,,#NULL!
3,TX,11/9/2013 2:29,#NULL!,Pickup,,,,,,,,,#NULL!
3,TX,11/9/2013 2:51,1,Pickup,Work,Own home,More than 20,No,31.0,76049.0,Associate's degree,Employed Full-time,#NULL!
4,TX,11/9/2013 22:07,#NULL!,Pickup,,,,,,,,,#NULL!
4,TX,11/9/2013 22:25,1,Pickup,Work,Own home,20-Nov,No,20.0,76043.0,Some college - no degree,Employed Part-time,0
4,TX,11/9/2013 22:34,8,SUV/ Crossover,Work,Own home,20-Nov,,37.0,76690.0,Associate's degree,Employed Full-time,#NULL!
4,TX,11/9/2013 22:59,1,Minivan,Restaurant/eating place,Own home,More than 20,,45.0,76446.0,High school graduate,Employed Part-time,#NULL!
4,TX,11/9/2013 23:08,#NULL!,Car,,,,,,,,,#NULL!
4,TX,11/9/2013 23:17,#NULL!,Car,,,,,,,,,#NULL!
4,TX,11/9/2013 23:35,1,Pickup,Other,Own home,More than 20,No,25.0,76048.0,Some college - no degree,Employed Full-time,#NULL!
4,TX,11/9/2013 23:56,1,Minivan,Other,Own home,More than 20,No,56.0,76476.0,Some college - no degree,Employed Full-time,0
5,TX,11/10/2013 1:23,1,Pickup,Store or gas station,Own home,10-Jun,Yes,33.0,76049.0,Some college - no degree,Unemployed,#NULL!
5,TX,11/10/2013 1:47,1,SUV/ Crossover,Own home,Someone else's home,0-5,No,21.0,76048.0,High school graduate,Employed Full-time,0
5,TX,11/10/2013 2:19,1,SUV/ Crossover,Sport or rec facility/park,Own home,20-Nov,Yes,30.0,76049.0,Some college - no degree,Employed Full-time,0
5,TX,11/10/2013 2:30,#NULL!,Car,,,,,,,,,#NULL!
5,TX,11/10/2013 2:41,#NULL!,Pickup,,,,,,,,,#NULL!
5,TX,11/10/2013 3:00,#NULL!,Pickup,,,,,,,,,#NULL!
1,UT,1/17/2014 8:57,1,Minivan,Own home,Own home,0-5,No,34.0,84108.0,Bachelor's degree,Employed Full-time,0
1,UT,1/17/2014 9:23,1,Car,Own home,Store or gas station,10-Jun,,82.0,84108.0,Bachelor's degree,Homemaker,0
1,UT,1/17/2014 9:26,#NULL!,Car,,,,,,,,,#NULL!
1,UT,1/17/2014 9:44,1,Minivan,Own home,Someone else's home,20-Nov,,33.0,84108.0,Some college - no degree,Employed Part-time,0
1,UT,1/17/2014 10:05,1,Car,School/church,Own home,10-Jun,,19.0,84109.0,Associate's degree,Employed Part-time,0
1,UT,1/17/2014 10:26,1,Pickup,Other,Own home,More than 20,No,36.0,84663.0,Bachelor's degree,Employed Full-time,0
1,UT,1/17/2014 10:43,1,Minivan,Own home,Store or gas station,10-Jun,No,34.0,84108.0,Doctoral degree,Employed Full-time,#NULL!
2,UT,1/17/2014 22:16,1,SUV/ Crossover,Someone else's home,Own home,10-Jun,,19.0,84106.0,Associate's degree,Employed Part-time,#NULL!
2,UT,1/17/2014 22:38,1,Car,Own home,Someone else's home,20-Nov,No,53.0,84119.0,Some college - no degree,Employed Full-time,#NULL!
2,UT,1/17/2014 22:50,1,Pickup,Other,Own home,10-Jun,,34.0,84124.0,Bachelor's degree,Employed Full-time,0
2,UT,1/17/2014 23:14,8,Car,Own home,Store or gas station,0-5,,31.0,84106.0,Some college - no degree,Employed Full-time,0
2,UT,1/17/2014 23:35,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
3,UT,1/18/2014 2:06,1,Car,"Bar, tavern, club",Own home,0-5,No,33.0,84115.0,Associate's degree,Employed Full-time,0
4,UT,1/18/2014 22:39,1,Car,Work,Own home,10-Jun,No,20.0,84116.0,Bachelor's degree,Employed Full-time,0
4,UT,1/18/2014 23:12,6,Car,Work,Own home,0-5,No,58.0,84116.0,Bachelor's degree,Employed Full-time,0
4,UT,1/18/2014 23:54,1,Car,Other,Own home,20-Nov,,38.0,84124.0,Some college - no degree,Employed Full-time,0
5,UT,1/19/2014 2:25,1,Car,Work,Own home,10-Jun,No,28.0,84116.0,9th - 11th grade,Employed Full-time,#NULL!
5,UT,1/19/2014 2:52,1,Minivan,Work,Own home,20-Nov,No,51.0,84103.0,Some college - no degree,Employed Full-time,#NULL!
1,UT,2/7/2014 13:44,1,Car,School/church,School/church,0-5,,17.0,84025.0,9th - 11th grade,Employed Part-time,#NULL!
1,UT,2/7/2014 14:02,1,SUV/ Crossover,School/church,Own home,0-5,No,41.0,84010.0,9th - 11th grade,Employed Full-time,0
1,UT,2/7/2014 14:08,1,Car,Work,Own home,0-5,,30.0,84014.0,Associate's degree,Employed Full-time,#NULL!
1,UT,2/7/2014 14:23,1,SUV/ Crossover,School/church,Own home,0-5,No,43.0,84010.0,Some college - no degree,Employed Part-time,0
1,UT,2/7/2014 14:35,7,Minivan,Own home,Someone else's home,10-Jun,,35.0,84010.0,Bachelor's degree,Homemaker,0
1,UT,2/7/2014 14:51,1,Car,Work,Own home,0-5,,55.0,84010.0,Some college - no degree,Employed Full-time,0
1,UT,2/7/2014 15:04,5,Car,School/church,Other,More than 20,,20.0,84010.0,Some college - no degree,Employed Full-time,0
1,UT,2/7/2014 15:19,1,Pickup,Someone else's home,Own home,More than 20,No,22.0,84010.0,Some college - no degree,Employed Full-time,0
1,UT,2/7/2014 15:34,5,Car,Work,Own home,0-5,,52.0,84010.0,High school graduate,Employed Full-time,#NULL!
2,UT,2/7/2014 22:18,1,Car,Someone else's home,Own home,10-Jun,,30.0,84087.0,Some college - no degree,Employed Full-time,0
2,UT,2/7/2014 22:30,1,SUV/ Crossover,Restaurant/eating place,Store or gas station,0-5,,17.0,84087.0,9th - 11th grade,Employed Part-time,#NULL!
2,UT,2/7/2014 22:44,1,Car,Work,Own home,10-Jun,No,29.0,84014.0,Bachelor's degree,Employed Full-time,#NULL!
2,UT,2/7/2014 23:00,1,SUV/ Crossover,Own home,Store or gas station,0-5,No,25.0,84010.0,Some college - no degree,Employed Full-time,0
2,UT,2/7/2014 23:12,1,SUV/ Crossover,Restaurant/eating place,Own home,10-Jun,No,38.0,84037.0,Some college - no degree,Employed Full-time,#NULL!
2,UT,2/7/2014 23:15,#NULL!,Car,,,,,,,,,#NULL!
2,UT,2/7/2014 23:29,1,Car,Restaurant/eating place,Someone else's home,0-5,,18.0,84010.0,High school graduate,Employed Full-time,0
2,UT,2/8/2014 0:04,1,Car,Someone else's home,Own home,More than 20,No,22.0,84010.0,Associate's degree,Employed Full-time,#NULL!
3,UT,2/8/2014 1:33,1,Car,Own home,Store or gas station,More than 20,,31.0,84109.0,Some college - no degree,Employed Full-time,0
3,UT,2/8/2014 1:53,1,Pickup,Sport or rec facility/park,Own home,More than 20,,33.0,84010.0,Bachelor's degree,Employed Full-time,0
3,UT,2/8/2014 1:55,#NULL!,Car,,,,,,,,,#NULL!
3,UT,2/8/2014 2:14,1,SUV/ Crossover,Someone else's home,Own home,20-Nov,No,23.0,84010.0,High school graduate,Employed Full-time,#NULL!
3,UT,2/8/2014 2:37,1,Car,Someone else's home,Own home,More than 20,,18.0,84010.0,Some college - no degree,Unemployed,0
3,UT,2/8/2014 3:14,1,Car,Someone else's home,Own home,10-Jun,No,20.0,84010.0,Some college - no degree,Employed Full-time,0
4,UT,2/8/2014 22:13,#NULL!,Car,,,,,,,,,#NULL!
4,UT,2/8/2014 22:30,1,Car,Own home,Someone else's home,10-Jun,,35.0,84014.0,Some college - no degree,Employed Full-time,0
4,UT,2/8/2014 22:41,1,Minivan,Work,Own home,20-Nov,,37.0,84010.0,Associate's degree,Employed Full-time,0
4,UT,2/8/2014 22:55,1,Car,Store or gas station,Own home,0-5,,26.0,84116.0,Associate's degree,Employed Full-time,0
4,UT,2/8/2014 23:09,6,SUV/ Crossover,Sport or rec facility/park,Own home,10-Jun,,19.0,84010.0,Some college - no degree,Employed Part-time,0
4,UT,2/8/2014 23:19,3,Car,Someone else's home,Someone else's home,0-5,,16.0,84010.0,9th - 11th grade,Unemployed,#NULL!
4,UT,2/8/2014 23:38,1,Car,Sport or rec facility/park,Own home,10-Jun,,48.0,84010.0,High school graduate,Employed Full-time,0
4,UT,2/8/2014 23:52,1,Car,Someone else's home,Own home,More than 20,No,21.0,84010.0,High school graduate,Employed Part-time,0
4,UT,2/9/2014 0:06,1,Car,Someone else's home,Own home,More than 20,,24.0,84010.0,Bachelor's degree,Employed Full-time,0
5,UT,2/9/2014 1:26,1,Car,Restaurant/eating place,Own home,0-5,,18.0,84010.0,High school graduate,Employed Part-time,0
5,UT,2/9/2014 1:44,4,Minivan,Someone else's home,Someone else's home,0-5,No,21.0,84037.0,9th - 11th grade,Unemployed,0
5,UT,2/9/2014 2:25,5,Minivan,Someone else's home,Restaurant/eating place,0-5,,46.0,84124.0,High school graduate,Employed Full-time,#NULL!
1,CA,6/7/2013 13:53,1,Car,Other,Restaurant/eating place,More than 20,No,55.0,92821.0,Master's degree,Unemployed,0
1,CA,6/7/2013 14:08,3,Car,School/church,Store or gas station,10-Jun,No,32.0,92805.0,Bachelor's degree,Unemployed,0
1,CA,6/7/2013 14:31,1,Car,Other,Own home,More than 20,,65.0,92821.0,Associate's degree,Retired,0
1,CA,6/7/2013 14:55,1,Car,Other,Store or gas station,20-Nov,No,66.0,92840.0,Master's degree,Other __________________________,0
1,CA,6/7/2013 15:17,1,Car,Work,Other,More than 20,,40.0,91766.0,High school graduate,Employed Full-time,0
1,CA,6/7/2013 15:26,8,SUV/ Crossover,Work,School/church,More than 20,No,47.0,90805.0,Some college - no degree,Employed Full-time,#NULL!
1,CA,6/7/2013 15:41,4,Car,Work,Own home,20-Nov,No,45.0,92802.0,High school graduate,Employed Full-time,#NULL!
2,CA,6/7/2013 22:24,9,Car,Someone else's home,Own home,0-5,No,21.0,92806.0,High school graduate,Employed Full-time,0
2,CA,6/7/2013 22:42,5,Minivan,School/church,Hotel/motel,10-Jun,,30.0,92545.0,Some college - no degree,Employed Part-time,0
2,CA,6/7/2013 22:58,1,Car,Other,Own home,More than 20,,18.0,92595.0,High school graduate,Unemployed,0
2,CA,6/7/2013 23:14,3,Car,Other,Someone else's home,10-Jun,No,21.0,95242.0,Some college - no degree,Employed Part-time,0
2,CA,6/7/2013 23:34,1,SUV/ Crossover,"Bar, tavern, club",Own home,More than 20,No,23.0,92806.0,Some college - no degree,Employed Full-time,0
2,CA,6/7/2013 23:53,3,Car,"Bar, tavern, club",Someone else's home,0-5,No,25.0,90042.0,Bachelor's degree,Employed Full-time,#NULL!
2,CA,6/8/2013 0:14,1,Car,Work,Own home,10-Jun,No,25.0,92831.0,Associate's degree,Employed Full-time,#NULL!
3,CA,6/8/2013 1:38,3,Car,Restaurant/eating place,Own home,0-5,No,33.0,92804.0,Bachelor's degree,Employed Full-time,0
3,CA,6/8/2013 1:59,1,Car,Someone else's home,Own home,20-Nov,No,25.0,92801.0,Some college - no degree,Employed Part-time,0
3,CA,6/8/2013 2:21,1,Car,Restaurant/eating place,Store or gas station,10-Jun,No,53.0,92840.0,Master's degree,Employed Full-time,0
3,CA,6/8/2013 2:49,8,Car,Someone else's home,Own home,0-5,Yes,22.0,92801.0,Associate's degree,Employed Full-time,0.032
3,CA,6/8/2013 2:56,#NULL!,Unknown,,,,,,,,,#NULL!
3,CA,6/8/2013 3:15,1,Other __________________________,Work,Own home,20-Nov,,67.0,92804.0,Some college - no degree,Employed Full-time,0
4,CA,6/8/2013 22:18,1,SUV/ Crossover,School/church,Own home,20-Nov,,39.0,92804.0,Master's degree,Employed Full-time,0
4,CA,6/8/2013 22:37,8,Car,Someone else's home,Own home,10-Jun,,26.0,92801.0,9th - 11th grade,Homemaker,#NULL!
4,CA,6/8/2013 23:00,8,Car,Someone else's home,Own home,More than 20,No,49.0,92804.0,High school graduate,Employed Full-time,#NULL!
4,CA,6/8/2013 23:23,1,Car,Restaurant/eating place,Own home,More than 20,No,55.0,92801.0,Some college - no degree,Employed Full-time,0
4,CA,6/8/2013 23:34,3,Car,School/church,Own home,More than 20,,42.0,92804.0,High school graduate,Employed Full-time,#NULL!
4,CA,6/9/2013 1:16,8,SUV/ Crossover,Someone else's home,Own home,0-5,No,20.0,92804.0,9th - 11th grade,Employed Part-time,0
5,CA,6/9/2013 1:34,1,SUV/ Crossover,Work,Own home,20-Nov,No,30.0,92831.0,Some college - no degree,Employed Full-time,0
5,CA,6/9/2013 1:59,1,Car,Own home,Store or gas station,0-5,No,41.0,90620.0,Some college - no degree,Employed Full-time,#NULL!
5,CA,6/9/2013 2:16,8,Car,Own home,Someone else's home,0-5,No,23.0,92802.0,Bachelor's degree,Employed Part-time,0
5,CA,6/9/2013 2:39,8,Car,"Bar, tavern, club",Someone else's home,20-Nov,,21.0,92801.0,Bachelor's degree,Employed Full-time,#NULL!
5,CA,6/9/2013 2:55,#NULL!,SUV/ Crossover,,,,,,,,,0
5,CA,6/9/2013 3:08,8,Car,Work,Own home,20-Nov,No,25.0,92801.0,Some college - no degree,Employed Full-time,#NULL!
1,CA,12/6/2013 9:53,1,Pickup,Work,Work,0-5,No,68.0,93015.0,Bachelor's degree,Employed Full-time,#NULL!
1,CA,12/6/2013 9:58,#NULL!,Car,,,,,,,,,#NULL!
1,CA,12/6/2013 10:09,1,Car,Other,Own home,0-5,,58.0,93004.0,Some college - no degree,Retired,#NULL!
1,CA,12/6/2013 10:17,#NULL!,Car,,,,,,,,,#NULL!
1,CA,12/6/2013 10:21,#NULL!,Pickup,,,,,,,,,#NULL!
1,CA,12/6/2013 10:39,5,Pickup,Own home,Work,20-Nov,No,54.0,93333.0,High school graduate,Employed Full-time,#NULL!
1,CA,12/6/2013 10:53,1,Car,Own home,Someone else's home,More than 20,No,21.0,93060.0,Some college - no degree,Employed Full-time,#NULL!
1,CA,12/6/2013 11:07,8,Car,Someone else's home,Own home,0-5,No,26.0,93003.0,Bachelor's degree,Employed Full-time,0
1,CA,12/6/2013 11:20,1,Car,Other,Someone else's home,20-Nov,,57.0,93004.0,Some college - no degree,On Disability,0
1,CA,12/6/2013 11:37,8,Car,School/church,Own home,0-5,,43.0,93004.0,Some college - no degree,Employed Full-time,0
2,CA,12/6/2013 22:16,1,Car,Other,Own home,10-Jun,No,71.0,93003.0,Doctoral degree,Other __________________________,0
2,CA,12/6/2013 22:36,1,Other __________________________,Own home,Store or gas station,0-5,No,21.0,93003.0,Some college - no degree,Employed Part-time,0
2,CA,12/6/2013 22:51,1,Pickup,Someone else's home,School/church,More than 20,,53.0,93003.0,High school graduate,Employed Full-time,#NULL!
2,CA,12/6/2013 23:13,5,Minivan,School/church,Own home,More than 20,,59.0,93003.0,Master's degree,Employed Full-time,0
2,CA,12/6/2013 23:30,1,SUV/ Crossover,Someone else's home,Own home,0-5,No,24.0,93003.0,Some college - no degree,Unemployed,0
2,CA,12/6/2013 23:46,1,Car,Own home,Someone else's home,More than 20,No,17.0,91320.0,High school graduate,Employed Part-time,#NULL!
2,CA,12/7/2013 0:03,1,Pickup,Store or gas station,Restaurant/eating place,0-5,No,20.0,93004.0,Some college - no degree,Employed Part-time,#NULL!
3,CA,12/7/2013 1:44,1,SUV/ Crossover,Work,Own home,0-5,No,45.0,93003.0,Associate's degree,Employed Full-time,0
3,CA,12/7/2013 2:11,6,Pickup,Work,Store or gas station,More than 20,No,55.0,93016.0,Master's degree,Employed Full-time,#NULL!
3,CA,12/7/2013 2:30,1,Car,Work,Own home,More than 20,No,40.0,91384.0,Bachelor's degree,Employed Full-time,0
3,CA,12/7/2013 2:36,#NULL!,Pickup,,,,,,,,,#NULL!
3,CA,12/7/2013 2:59,1,SUV/ Crossover,Restaurant/eating place,Own home,20-Nov,No,20.0,93035.0,High school graduate,Employed Part-time,0
4,CA,12/7/2013 22:04,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
4,CA,12/7/2013 22:24,1,Car,"Bar, tavern, club",Own home,0-5,No,63.0,93001.0,Bachelor's degree,Retired,0
4,CA,12/7/2013 22:43,1,SUV/ Crossover,Own home,"Bar, tavern, club",More than 20,No,29.0,90022.0,Some college - no degree,Employed Full-time,0
4,CA,12/7/2013 22:59,1,SUV/ Crossover,Someone else's home,Own home,0-5,No,52.0,93001.0,Professional degree,Other __________________________,0
4,CA,12/7/2013 23:08,#NULL!,Car,,,,,,,,,#NULL!
4,CA,12/7/2013 23:14,#NULL!,Pickup,,,,,,,,,#NULL!
4,CA,12/7/2013 23:35,1,SUV/ Crossover,Store or gas station,Own home,10-Jun,No,45.0,93035.0,Bachelor's degree,Employed Full-time,#NULL!
4,CA,12/7/2013 23:50,1,SUV/ Crossover,Own home,Restaurant/eating place,0-5,,19.0,93003.0,Some college - no degree,Employed Full-time,#NULL!
5,CA,12/8/2013 1:19,#NULL!,Pickup,,,,,,,,,#NULL!
5,CA,12/8/2013 1:32,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
5,CA,12/8/2013 1:54,8,Car,Other,Own home,20-Nov,No,44.0,93033.0,Some college - no degree,Employed Full-time,#NULL!
5,CA,12/8/2013 2:57,1,Car,Someone else's home,Own home,0-5,Yes,21.0,93001.0,High school graduate,Employed Full-time,#NULL!
1,CA,2/21/2014 11:51,1,Car,Own home,Work,0-5,No,53.0,93436.0,Some college - no degree,Employed Full-time,0
1,CA,2/21/2014 12:07,1,SUV/ Crossover,Restaurant/eating place,Own home,0-5,No,24.0,93436.0,Associate's degree,Employed Full-time,0
1,CA,2/21/2014 12:17,#NULL!,,,,,,,,,,0
1,CA,2/21/2014 12:37,1,Car,Own home,Work,More than 20,No,61.0,93455.0,Some college - no degree,Employed Full-time,0
1,CA,2/21/2014 12:50,8,Car,Own home,Store or gas station,0-5,,22.0,93436.0,Some college - no degree,Employed Full-time,0
1,CA,2/21/2014 13:03,1,Car,Own home,Restaurant/eating place,0-5,,29.0,93436.0,Some college - no degree,Employed Part-time,0
